gender,rpi1_sc-118,rpi1_sc-111,rpi1_sc2,rpi1_sc32,rpi1_sc67,rpi1_sc106,rpi1_sc120,rpi1_sc121
1,700.0872,370.3741,128.0000,49.4065,42.0119,840.0031,523.4358,529.4393
1,695.0460,375.3105,128.0000,43.8634,46.2277,832.8565,518.7032,520.2000
1,704.7049,376.1276,128.0000,39.8121,47.0000,840.7502,524.7952,532.1851
1,735.7391,380.2959,128.0000,44.0114,41.0487,791.9911,543.3415,488.5591
1,727.1953,374.7599,128.0000,49.9300,38.4838,828.4395,537.0605,522.2806
1,709.7394,372.5292,128.0000,38.2884,37.2156,842.1787,528.0464,528.7958
1,716.6729,374.2325,128.0000,41.3401,45.1774,835.7422,528.0615,523.4625
1,717.8976,373.8770,128.0000,38.1182,47.8539,807.1387,538.3354,503.4362
1,703.4095,371.2156,128.0000,38.0132,46.0977,837.7924,524.1088,527.5320
1,730.3972,379.7947,128.0000,48.2597,45.0444,821.2631,536.2630,514.2422
1,712.7103,374.6385,128.0000,31.9061,48.7647,799.6111,540.7079,503.0805
1,723.6187,367.4479,128.0000,39.9625,38.2753,814.3003,541.1174,506.6636
1,731.1970,375.9694,128.0000,53.6656,41.3401,812.9581,535.8525,515.2883
1,712.0569,371.2142,128.0000,38.0789,49.3964,812.6426,540.4119,503.0189
1,722.6853,374.6038,128.0000,38.6394,44.7214,802.2375,545.9963,494.5948
1,722.0533,368.9133,128.0000,40.0000,38.8330,811.3716,544.3124,501.4958
1,718.4427,372.5332,128.0000,45.2217,39.3573,834.1750,533.5785,525.4807
1,723.3098,373.3765,128.0000,38.0132,41.7612,791.7329,539.0370,502.9294
1,718.4009,376.5634,128.0000,30.6105,49.2544,843.4987,528.6067,525.5178
1,734.9782,378.9366,128.0000,38.4708,45.7056,809.6728,545.9158,504.3372
1,707.5154,370.2593,128.0000,35.7351,33.5410,818.1913,533.1904,511.2582
1,703.2844,372.0605,128.0000,34.4819,48.0416,836.9618,527.0768,526.5216
1,700.6068,375.9707,128.0000,40.6079,50.6360,847.6633,522.1849,526.3431
1,709.0388,370.1635,128.0000,41.0366,39.2046,851.8762,530.0764,536.1464
